LE_MET_level6,Benthis_metiers,Metier_level5,Metier_level4,JNCC_grouping,Fishing_category,Fishing_category_FO,Description
FPO_FWS_110-156_0_0,NA,FPO_FWS,FPO,NA,Static,Static,Pot
FPO_FWS_31-49_0_0,NA,FPO_FWS,FPO,NA,Static,Static,Pot
FPO_FWS_>0_0_0,NA,FPO_FWS,FPO,NA,Static,Static,Pot
FPO_MCF_0-0_0_0,NA,FPO_MCF,FPO,NA,Static,Static,Pot
FPO_MOL_0-0_0_0,NA,FPO_MOL,FPO,NA,Static,Static,Pot
FPO_MOL_0_0_0,NA,FPO_MOL,FPO,NA,Static,Static,Pot
FPO_MOL_>0_0_0,NA,FPO_MOL,FPO,NA,Static,Static,Pot
FPO_MOL_>=29_0_0,NA,FPO_MOL,FPO,NA,Static,Static,Pot
FPO_NOC_0_0_0,NA,FPO_MOL,FPO,NA,Static,Static,Pot
FPO_SPF_0-0_0_0,NA,FPO_SPF,FPO,NA,Static,Static,Pot
FPO_SPF_0_0_0,NA,FPO_SPF,FPO,NA,Static,Static,Pot
FPO_SPF_10-30_0_0,NA,FPO_SPF,FPO,NA,Static,Static,Pot
FPO_SPF_31-49_0_0,NA,FPO_SPF,FPO,NA,Static,Static,Pot
FPO_SPF_50-59_0_0,NA,FPO_SPF,FPO,NA,Static,Static,Pot
FPO_SPF_>0_0_0,NA,FPO_SPF,FPO,NA,Static,Static,Pot
FPO_SPF_>=220_0_0,NA,FPO_SPF,FPO,NA,Static,Static,Pot
FYK_CAT_0_0_0,NA,FYK_CAT,FYK,NA,Static,Static,Fyke nets
FYK_CAT_>0_0_0,NA,FYK_CAT,FYK,NA,Static,Static,Fyke nets
FYK_CRU_0_0_0,NA,FYK_CRU,FYK,NA,Static,Static,Fyke nets
FYK_CRU_>0_0_0,NA,FYK_CRU,FYK,NA,Static,Static,Fyke nets
FYK_DEF_0_0_0,NA,FYK_DEF,FYK,NA,Static,Static,Fyke nets
FYK_FWS_>0_0_0,NA,FYK_FWS,FYK,NA,Static,Static,Fyke nets
FYK_SPF_0_0_0,NA,FYK_SPF,FYK,NA,Static,Static,Fyke nets
FYK_SPF_>0_0_0,NA,FYK_SPF,FYK,NA,Static,Static,Fyke nets
GEN_DEF_1249,NA,GEN_DEF,GEN,NA,Static,Static,Gillnet
GEN_DEF_1749,NA,GEN_DEF,GEN,NA,Static,Static,Gillnet
GEN_DEF_2499,NA,GEN_DEF,GEN,NA,Static,Static,Gillnet
GEN_DEF_349,NA,GEN_DEF,GEN,NA,Static,Static,Gillnet
GEN_DEF_624,NA,GEN_DEF,GEN,NA,Static,Static,Gillnet
GEN_DEF_874,NA,GEN_DEF,GEN,NA,Static,Static,Gillnet
GEN_SPF_349,NA,GEN_SPF,GEN,NA,Static,Static,Gillnet
GEN_UNK_349,NA,GEN_UNK,GEN,NA,Static,Static,Gillnet
GNC_DEF_0,NA,GNC_DEF,GNC,NA,Static,Static,Gillnet
GNC_DEF_0_0_0,NA,GNC_DEF,GNC,NA,Static,Static,Gillnet
GNC_DEF_110-156_0_0,NA,GNC_DEF,GNC,NA,Static,Static,Gillnet
GNC_DEF_157-219_0_0,NA,GNC_DEF,GNC,NA,Static,Static,Gillnet
GNC_DEF_349,NA,GNC_DEF,GNC,NA,Static,Static,Gillnet
GNC_SPF_0_0_0,NA,GNC_SPF,GNC,NA,Static,Static,Gillnet
GND_ANA_0_0_0,NA,GND_ANA,GND,NA,Static,Static,Drift_gillnets
